Player,Ranking total
Olivia Nicholls,2909
Maia Lumsden,2341
Harriet Dart,1120
Madeleine Brooks,681
Millie Rajecki,618
Freya Christie,615
Alicia Barnett,549
Emily Webley-Smith,530
Emily Appleton,481
Eden Silva,464
Alicia Dudeney,410
Mika Stojsavljevic,310
Ella Mcdonald,302
Vic Allen,218
Mimi Xu,207
Heather Watson,204
Esther Adeshina,203
Lauryn John-Baptiste,194
Brooke Black,167
Lily Miyazaki,165
Katie Boulter,142
Naiktha Bains,142
Jodie Burrage,131
Savannah Dada-Mascoll,115
Summer Yardley,107
Eliz Maloney,83
Amarni Banks,75
Ranah Stoiber,73
Ruby Cooling,65
Holly Hutchinson,65
Allegra Korpanec Davies,64
Katie Swan,58
Sofia Johnson,58
Kristina Paskauskas,52
Sam Murray Sharan,50
Melissa Boyden,49
Hannah Klugman,34
Daniella Britton,31
Vlada Kozak,31
Georgiana Mititelu,30
Soumeya Anane,29
Isabella Wong,27
Athina Schlepphorst,22
Tegan Bush,22
Amelie Brooks,20
Megan Davies,19
Antoinette Chastang Cooper,18
Freya Peet,18
Charlotte Clarke,18
Emma Wilson,16
Hollie Smart,14
Gabia Paskauskas,14
Jasmine Conway,13
Isabelle Cherny,12
Annabelle Lammas,12
Emma Sawkings,12
Emma Raducanu,11
Sonay Kartal,10
Katy Dunne,10
Indi Spink,10
Mia Wainwright,9
Grace Piper,8
Ophelia Korpanec Davies,6
Leticia Romanova,5
Chloe Cleaver,5
Lily Hutchings,4
Talia Neilson-Gatenby,3
Eva Shaw,3
Eloise Newberry,3
Sophia Hurrion,2
Aisling Mcgrane,2
Aimee Bromfield,1
Swasthika Arunkumar,1
Scarlet Kavanagh,1
Hephzibah Oluwadare,1
Ciara Moore,1
Edie Griffiths,1
Elizabeth Evans,1
Jaquelyn Ogunwale,1
Gigi Hays,1
Rosie Cho,1
Daisy Mewett,0
Aziza Aubin,0
Clarice Ouvarova,0
Elise Van Heuvelen,0
Charlotte Russell,0
Immi Haddad,0
Jasmine Mian,0
Gabriela Pacheco-Lagoda,0
Georgina Hays,0
Ria Ferguson,0
Meira Geras,0
Lucia Cassidy,0
Tiana Fox,0
